model,rmse,accuracy,balanced_accuracy,precision,recall,f1
Random Forest,0.3980031714280055,0.8415934755332497,0.8095929362152972,0.8285968028419183,0.9400503778337531,0.8808118952088742
Gradient Boosting,0.4798316308638013,0.7697616060225847,0.7301331055233453,0.7732634338138925,0.8916876574307305,0.8282639213851193
Logistic Regression,0.5490381689062562,0.6985570890840652,0.6424989164368675,0.7103533278553821,0.8710327455919396,0.7825299841593121
